,active_screen_name,user_id,followers_count,tweetid,userid,user_display_name,suspended_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,active_user_id,in_reply_to_tweetid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
346,AlinejadMasih,947924373029171200,111504,1071657558841196544,1032591398657314817,Skeleton:D,skeleton5292,Palestine,‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏مردم خفتگانند؛ چون بمیرند بیدار می شوند :) یا هُو _ مَمَرضا,,10238,10118,2018-08-23,fa,fa,@AlinejadMasih چرا ماکارانی ها رو ریختی موهات؟,2018-12-09 06:47,Twitter for Android,947924373029171200,1.0714677116188017e+18,,False,,,absent,absent,0.0,0.0,2.0,0.0,[],[],[947924373029171200],
347,AlinejadMasih,947924373029171200,111504,961503102439436288,912197109994201089,سارا موسوی,saramosavi8,ایران - تهران,"🇮🇷فرزند انقلاب🇮🇷 
اهل مطالعه ، مهربان وپرسپولیسی  ناراضی از وضعیت موجود در کشور عزیزم ایران، کارشناسی ارشد علوم سیاسی😍😍😍
https://t.co/6L9f7BeUtK",https://t.co/7xyTyzUfo7,20238,8976,2017-09-25,en-gb,und,@AlinejadMasih https://t.co/3EjurAqc6Q,2018-02-08 07:32,Twitter Web Client,947924373029171200,9.614548106702275e+17,9.614575447651041e+17,False,,,absent,absent,0.0,3.0,0.0,0.0,[],['https://twitter.com/KYOiwo2lAF0h2Sri0iOi4DLcnhyyq+hS7whrTj7bbSM=/status/961457544765104128'],[947924373029171200],
348,AlinejadMasih,947924373029171200,111504,968836752688459776,912197109994201089,سارا موسوی,saramosavi8,ایران - تهران,"🇮🇷فرزند انقلاب🇮🇷 
اهل مطالعه ، مهربان وپرسپولیسی  ناراضی از وضعیت موجود در کشور عزیزم ایران، کارشناسی ارشد علوم سیاسی😍😍😍
https://t.co/6L9f7BeUtK",https://t.co/7xyTyzUfo7,20238,8976,2017-09-25,en-gb,und,@AlinejadMasih https://t.co/QC0WpF6S2C,2018-02-28 13:14,Twitter Web Client,947924373029171200,9.688201572074578e+17,9.687714646347325e+17,False,,,absent,absent,0.0,0.0,0.0,0.0,[],['https://twitter.com/KYOiwo2lAF0h2Sri0iOi4DLcnhyyq+hS7whrTj7bbSM=/status/968771464634732546'],[947924373029171200],
349,AlinejadMasih,947924373029171200,111504,1059432451750223872,9awFHt+htU+xsDluiT0ZsDcXrFXfP5osvTIquKf06P8=,9awFHt+htU+xsDluiT0ZsDcXrFXfP5osvTIquKf06P8=,9awFHt+htU+xsDluiT0ZsDcXrFXfP5osvTIquKf06P8=,جمهوری اسلامی ایران,خواستند ما را دفن کنند  غافل از اینکه ما بذر بودیم 🌱,https://t.co/s7HrsRJ4lY,4796,3874,2018-01-01,en-gb,fa,"@AlinejadMasih همه طرفداران تو این گونه اند 
چه مرد چه زن
همه بی ادب
چه قدر بهم میاید",2018-11-05 13:09,TweetDeck,947924373029171200,1.0594320735582208e+18,,False,,,absent,absent,0.0,3.0,1.0,0.0,[],[],[947924373029171200],
350,AlinejadMasih,947924373029171200,111504,958682417170010113,912197109994201089,سارا موسوی,saramosavi8,ایران - تهران,"🇮🇷فرزند انقلاب🇮🇷 
اهل مطالعه ، مهربان وپرسپولیسی  ناراضی از وضعیت موجود در کشور عزیزم ایران، کارشناسی ارشد علوم سیاسی😍😍😍
https://t.co/6L9f7BeUtK",https://t.co/7xyTyzUfo7,20238,8976,2017-09-25,en-gb,und,@AlinejadMasih https://t.co/WbauL96nl8,2018-01-31 12:44,Twitter Web Client,947924373029171200,9.586621077377434e+17,9.586805250482422e+17,False,,,absent,absent,0.0,0.0,0.0,0.0,[],['https://twitter.com/KYOiwo2lAF0h2Sri0iOi4DLcnhyyq+hS7whrTj7bbSM=/status/958680525048242177'],[947924373029171200],
351,AlinejadMasih,947924373029171200,111504,1092699398591569920,xRdMDzxZcImHhHqpaNAd6yfdjYW5PdLZz2LPWlQhLow=,xRdMDzxZcImHhHqpaNAd6yfdjYW5PdLZz2LPWlQhLow=,xRdMDzxZcImHhHqpaNAd6yfdjYW5PdLZz2LPWlQhLow=,,"‏‏روانشناسی که هنوز روانشناس نیست. 

خدمتگزار انقلاب، عاشق وطن و شهدا و امیدوار به آینده.",,1899,1015,2018-01-13,fa,fa,"@AlinejadMasih خوب اینو از اول میگفتی 
حجاب زنان بهانست 
اصل نظام نشانست 

خاک تو‌ سرت تو‌‌ به این نظام که نه به مردم کشورت بد کردی 
البته اگر حالیت باشه",2019-02-05 08:20,Twitter for Android,947924373029171200,1.0925854990579302e+18,,False,,,absent,absent,,,,,[],[],[947924373029171200],
352,AlinejadMasih,947924373029171200,111504,958682364044984321,912197109994201089,سارا موسوی,saramosavi8,ایران - تهران,"🇮🇷فرزند انقلاب🇮🇷 
اهل مطالعه ، مهربان وپرسپولیسی  ناراضی از وضعیت موجود در کشور عزیزم ایران، کارشناسی ارشد علوم سیاسی😍😍😍
https://t.co/6L9f7BeUtK",https://t.co/7xyTyzUfo7,20238,8976,2017-09-25,en-gb,und,@AlinejadMasih https://t.co/WbauL96nl8,2018-01-31 12:44,Twitter Web Client,947924373029171200,9.586769626749542e+17,9.586805250482422e+17,False,,,absent,absent,1.0,2.0,4.0,0.0,[],['https://twitter.com/KYOiwo2lAF0h2Sri0iOi4DLcnhyyq+hS7whrTj7bbSM=/status/958680525048242177'],[947924373029171200],
353,AlinejadMasih,947924373029171200,111504,961503080008376320,912197109994201089,سارا موسوی,saramosavi8,ایران - تهران,"🇮🇷فرزند انقلاب🇮🇷 
اهل مطالعه ، مهربان وپرسپولیسی  ناراضی از وضعیت موجود در کشور عزیزم ایران، کارشناسی ارشد علوم سیاسی😍😍😍
https://t.co/6L9f7BeUtK",https://t.co/7xyTyzUfo7,20238,8976,2017-09-25,en-gb,und,@AlinejadMasih https://t.co/3EjurAqc6Q,2018-02-08 07:32,Twitter Web Client,947924373029171200,9.612037578612285e+17,9.614575447651041e+17,False,,,absent,absent,0.0,0.0,0.0,0.0,[],['https://twitter.com/KYOiwo2lAF0h2Sri0iOi4DLcnhyyq+hS7whrTj7bbSM=/status/961457544765104128'],[947924373029171200],
354,AlinejadMasih,947924373029171200,111504,1049195238282031104,912197109994201089,سارا موسوی,saramosavi8,ایران - تهران,"🇮🇷فرزند انقلاب🇮🇷 
اهل مطالعه ، مهربان وپرسپولیسی  ناراضی از وضعیت موجود در کشور عزیزم ایران، کارشناسی ارشد علوم سیاسی😍😍😍
https://t.co/6L9f7BeUtK",https://t.co/7xyTyzUfo7,20238,8976,2017-09-25,en-gb,fa,"@AlinejadMasih تو خودت خدای تناقضی 
دنیا زن ایرانی را به نجابت و حیا می شناسد و اما تو برعکسی . آیا به تناقض تو نمی خندن",2018-10-08 07:10,Twitter Web Client,947924373029171200,1.0491522680697446e+18,,False,,,absent,absent,0.0,3.0,22.0,0.0,[],[],[947924373029171200],
355,AlinejadMasih,947924373029171200,111504,1047841540888883200,912197109994201089,سارا موسوی,saramosavi8,ایران - تهران,"🇮🇷فرزند انقلاب🇮🇷 
اهل مطالعه ، مهربان وپرسپولیسی  ناراضی از وضعیت موجود در کشور عزیزم ایران، کارشناسی ارشد علوم سیاسی😍😍😍
https://t.co/6L9f7BeUtK",https://t.co/7xyTyzUfo7,20238,8976,2017-09-25,en-gb,fa,@AlinejadMasih بنده به عنوان یه مانتویی به آن خانم چادری و بقیه می گم حق ندارید قانون کشور عزیزم ایران را زیر پا بذارید,2018-10-04 13:31,Twitter Web Client,947924373029171200,1.0478396256063242e+18,,False,,,absent,absent,0.0,8.0,34.0,0.0,[],[],[947924373029171200],
